iter	Passed	Remaining
586	2209	1554
587	2212	1550
588	2215	1545
589	2218	1541
590	2221	1537
591	2225	1533
592	2228	1529
593	2231	1525
594	2234	1521
595	2237	1516
596	2241	1513
597	2244	1508
598	2247	1504
599	2250	1500
600	2253	1496
601	2257	1492
602	2260	1488
603	2263	1484
604	2266	1479
605	2269	1475
606	2273	1471
607	2276	1467
608	2280	1463
609	2283	1459
610	2286	1456
611	2289	1451
612	2292	1447
613	2296	1443
614	2298	1439
615	2302	1435
616	2305	1431
617	2308	1427
618	2311	1422
619	2314	1418
620	2319	1415
621	2322	1411
622	2325	1407
623	2328	1403
624	2331	1398
625	2336	1395
626	2339	1391
627	2342	1387
628	2345	1383
629	2348	1379
630	2352	1375
631	2355	1371
632	2358	1367
633	2361	1363
634	2364	1359
635	2368	1355
636	2371	1351
637	2374	1347
638	2378	1343
639	2381	1339
640	2384	1335
641	2387	1331
642	2390	1327
643	2394	1323
644	2398	1320
645	2402	1316
646	2405	1312
647	2408	1308
648	2411	1304
649	2415	1300
650	2418	1296
651	2422	1293
652	2425	1289
653	2429	1285
654	2432	1281
655	2435	1277
656	2438	1273
657	2441	1269
658	2445	1265
659	2448	1261
660	2451	1257
661	2454	1253
662	2457	1249
663	2461	1245
664	2464	1241
665	2467	1237
666	2470	1233
667	2473	1229
668	2476	1225
669	2480	1221
670	2486	1219
671	2489	1215
672	2493	1211
673	2496	1207
674	2499	1203
675	2502	1199
676	2505	1195
677	2508	1191
678	2512	1187
679	2515	1183
680	2518	1179
681	2521	1175
682	2524	1171
683	2556	1180
684	2561	1177
685	2565	1174
686	2568	1170
687	2571	1166
688	2575	1162
689	2579	1158
690	2583	1155
691	2586	1151
692	2591	1147
693	2595	1144
694	2598	1140
695	2601	1136
696	2607	1133
697	2611	1129
698	2615	1126
699	2620	1122
700	2624	1119
701	2628	1115
702	2632	1112
703	2639	1109
704	2643	1106
705	2648	1102
706	2656	1100
707	2660	1097
708	2664	1093
709	2667	1089
710	2672	1086
711	2677	1083
712	2682	1079
713	2689	1077
714	2694	1074
715	2698	1070
716	2707	1068
717	2717	1067
718	2723	1064
719	2726	1060
720	2730	1056
721	2734	1052
722	2738	1049
723	2742	1045
724	2745	1041
725	2749	1037
726	2754	1034
727	2757	1030
728	2761	1026
729	2765	1022
730	2770	1019
731	2773	1015
732	2777	1011
733	2781	1008
734	2785	1004
735	2789	1000
736	2793	996
737	2798	993
738	2802	989
739	2805	985
740	2809	982
741	2815	978
742	2818	975
743	2822	971
744	2826	967
745	2831	964
746	2835	960
747	2839	956
748	2843	952
749	2847	949
750	2851	945
751	2854	941
752	2858	937
753	2862	934
754	2866	930
755	2871	926
756	2875	922
757	2881	919
758	2885	916
759	2890	912
760	2899	910
761	2902	906
762	2907	903
763	2913	899
764	2917	896
765	2921	892
766	2925	888
767	2929	884
768	2933	881
769	2937	877
770	2941	873
771	2946	870
772	2950	866
773	2953	862
774	2958	858
775	2961	854
776	2965	851
777	2969	847
778	2972	843
779	2977	839
780	2982	836
781	2986	832
782	2993	829
783	2997	825
784	3001	822
785	3005	818
786	3009	814
787	3013	810
788	3017	806
789	3020	803
790	3025	799
791	3029	795
792	3032	791
793	3036	787
794	3041	784
795	3045	780
796	3049	776
797	3054	773
798	3058	769
799	3062	765
800	3065	761
801	3069	757
802	3073	754
803	3078	750
804	3082	746
805	3086	742
806	3090	739
807	3093	735
808	3097	731
809	3101	727
810	3105	723
811	3108	719
812	3112	715
813	3116	712
814	3120	708
815	3124	704
816	3128	700
817	3132	696
818	3137	693
819	3141	689
820	3144	685
821	3148	681
822	3152	678
823	3156	674
824	3161	670
825	3165	666
826	3168	662
827	3173	659
828	3176	655
829	3179	651
830	3184	647
831	3187	643
832	3197	641
833	3201	637
834	3205	633
835	3208	629
836	3212	625
837	3216	621
838	3220	618
839	3224	614
840	3228	610
841	3232	606
842	3236	602
843	3240	598
844	3244	595
845	3248	591
846	3252	587
847	3256	583
848	3259	579
849	3263	575
850	3267	572
851	3271	568
852	3275	564
853	3279	560
854	3287	557
855	3291	553
856	3296	550
857	3300	546
858	3304	542
859	3307	538
860	3312	534
861	3315	530
862	3319	526
863	3323	523
864	3328	519
865	3331	515
866	3335	511
867	3338	507
868	3343	504
869	3347	500
870	3351	496
871	3354	492
872	3359	488
873	3363	484
874	3366	480
875	3369	476
876	3373	473
877	3376	469
878	3380	465
879	3383	461
880	3387	457
881	3392	453
882	3396	449
883	3399	446
884	3403	442
885	3407	438
886	3411	434
887	3414	430
888	3418	426
889	3422	423
890	3426	419
891	3429	415
892	3433	411
893	3437	407
894	3442	403
895	3445	399
896	3452	396
